release_id,company_id,issuer,issuer_group,role,origin,panel,published,month,category,category_group,ingredients,brand,tier,is_quasi_drug,is_renewal,is_edition,url
000000031.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2019-10-18,2019-10,,none,,イニスフリー,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000031.000031376.html
000000025.000024471,24471,日本ロレアル株式会社　タカミ事業部,日本ロレアル株式会社,brand_owner,global,core,2019-10-28,2019-10,,none,,タカミ,ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000025.000024471.html
000000008.000046376,46376,株式会社コーセー（戦略ブランド事業部）,株式会社コーセー,brand_owner,JP,core,2019-11-14,2019-11,lipstick,makeup,,ADDICTION,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000008.000046376.html
000000346.000001572,1572,株式会社石澤研究所,株式会社石澤研究所,brand_owner,JP,core,2019-11-15,2019-11,toner_lotion,skincare,,毛穴撫子,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000346.000001572.html
000000006.000044623,44623,ELCジャパン合同会社　M・A・C事業部,ELCジャパン合同会社,brand_owner,global,core,2019-11-21,2019-11,,none,,M·A·C,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000006.000044623.html
000000029.000024471,24471,日本ロレアル株式会社　タカミ事業部,日本ロレアル株式会社,brand_owner,global,core,2019-11-22,2019-11,,none,,タカミ,ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000029.000024471.html
000000062.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2019-11-25,2019-11,eye_makeup,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000062.000019685.html
000000063.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2019-11-26,2019-11,base_makeup,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000063.000019685.html
000000011.000042040,42040,株式会社セザンヌ化粧品,セザンヌ化粧品株式会社,brand_owner,JP,core,2019-12-03,2019-12,base_makeup,makeup,,CEZANNE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000011.000042040.html
000000056.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2019-12-05,2019-12,,none,,NIVEA,プチプラ/ミドル,1,0,0,https://prtimes.jp/main/html/rd/p/000000056.000006944.html
000000033.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2019-12-12,2019-12,,none,,イニスフリー,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000033.000031376.html
000000009.000046376,46376,株式会社コーセー（戦略ブランド事業部）,株式会社コーセー,brand_owner,JP,core,2019-12-19,2019-12,eye_makeup,makeup,,ADDICTION,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000009.000046376.html
000000034.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2019-12-20,2019-12,,none,,,mixed,0,0,0,https://prtimes.jp/main/html/rd/p/000000034.000031376.html
000000064.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2019-12-20,2019-12,blush,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000064.000019685.html
000000066.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2019-12-25,2019-12,,none,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000066.000019685.html
000000349.000001572,1572,株式会社石澤研究所,株式会社石澤研究所,brand_owner,JP,core,2020-01-06,2020-01,,none,,,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000349.000001572.html
000000009.000044623,44623,ELCジャパン合同会社　M・A・C事業部,ELCジャパン合同会社,brand_owner,global,core,2020-01-16,2020-01,eye_makeup|lipstick,makeup,,M·A·C,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000009.000044623.html
000000010.000044623,44623,ELCジャパン合同会社　M・A・C事業部,ELCジャパン合同会社,brand_owner,global,core,2020-01-17,2020-01,,none,,M·A·C,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000010.000044623.html
000000067.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2020-01-22,2020-01,powder|blush,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000067.000019685.html
000000068.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2020-01-24,2020-01,base_makeup,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000068.000019685.html
000000035.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2020-01-28,2020-01,,none,,,mixed,0,0,0,https://prtimes.jp/main/html/rd/p/000000035.000031376.html
000000352.000001572,1572,株式会社石澤研究所,株式会社石澤研究所,brand_owner,JP,core,2020-02-12,2020-02,hair,other,,,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000352.000001572.html
000000013.000042040,42040,株式会社セザンヌ化粧品,セザンヌ化粧品株式会社,brand_owner,JP,core,2020-02-13,2020-02,eye_makeup|lash_brow,makeup,,CEZANNE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000013.000042040.html
000000013.000044623,44623,ELCジャパン合同会社　M・A・C事業部,ELCジャパン合同会社,brand_owner,global,core,2020-03-02,2020-03,,none,,M·A·C,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000013.000044623.html
000000013.000046376,46376,株式会社コーセー（戦略ブランド事業部）,株式会社コーセー,brand_owner,JP,core,2020-03-06,2020-03,,none,,ADDICTION,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000013.000046376.html
000000274.000007954,7954,クラシエ株式会社（ホームプロダクツカンパニー）,クラシエ株式会社,brand_owner,JP,core,2020-03-09,2020-03,mask|serum,skincare,,,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000274.000007954.html
000000015.000042040,42040,株式会社セザンヌ化粧品,セザンヌ化粧品株式会社,brand_owner,JP,core,2020-03-12,2020-03,lipstick,makeup,,CEZANNE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000015.000042040.html
